Unnamed: 0,SEC_TERM,SEC_NAME,SEC_SUBJ,CRS_NO,SEC_NO,SEC_LVL,SEC_TITLE,DA_ENR,SEC_CAP,CR_MAX,CR_MIN,ROOMS_ID1,course_title,instructor,syllabus
23,2007/FA,MAT-115-01,MAT,115,1,100,Intro to Statistics,30,32,,4,SCIE*2402,,,
24,2007/FA,MAT-115-02,MAT,115,2,100,Intro to Statistics,19,32,,4,SCIE*2402,,,
25,2007/FA,MAT-115-03,MAT,115,3,100,Intro to Statistics,18,32,,4,ARH*124,,,
26,2007/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,28,32,,4,SCIE*2402,,,
27,2007/FA,MAT-335-01,MAT,335,1,300,Probability & Stat I,24,25,,4,SCIE*2402,,,
51,2008/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,25,26,,4,SCIE*2402,,,
52,2008/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,18,26,,4,SCIE*1302,,,
53,2008/FA,MAT-115-03,MAT,115,3,100,Introduction to Statistics,26,26,,4,SCIE*2402,,,
54,2008/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,19,32,,4,SCIE*2402,,,
55,2008/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,19,32,,4,SCIE*2402,,,
56,2008/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,26,25,,4,SCIE*2402,,,
84,2008/SP,MAT-115-01,MAT,115,1,100,Intro to Statistics,27,27,,4,SCIE*2402,,,
85,2008/SP,MAT-115-02,MAT,115,2,100,Intro to Statistics,28,27,,4,ARH*124,,,
86,2008/SP,MAT-115-03,MAT,115,3,100,Intro to Statistics,36,35,,4,SCIE*3819,,,
87,2008/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,20,32,,4,SCIE*2402,,,
88,2008/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,34,32,,4,SCIE*2402,,,
89,2008/SP,MAT-310-01,MAT,310,1,300,Statistical Modeling,14,25,,4,SCIE*2402,,,
90,2008/SP,MAT-336-01,MAT,336,1,300,Probability & Stat II,18,25,,4,SCIE*2402,,,
116,2009/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,25,26,,4,SCIE*2402,,,
117,2009/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,24,26,,4,SCIE*2402,,,
118,2009/FA,MAT-115-03,MAT,115,3,100,Introduction to Statistics,24,26,,4,SCIE*1515,,,
119,2009/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,32,32,,4,SCIE*2402,,,
120,2009/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,32,32,,4,SCIE*2402,,,
121,2009/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,31,25,,4,SCIE*2402,,,
150,2009/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,31,26,,4,SCIE*2402,,,
151,2009/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,23,26,,4,ARH*124,,,
152,2009/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,31,30,,4,ARH*124,,,
153,2009/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,32,32,,4,SCIE*2402,,,
154,2009/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,32,32,,4,SCIE*2402,,,
155,2009/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,23,25,,4,SCIE*2402,,,
180,2010/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,29,28,,4,SCIE*2402,,,
181,2010/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,26,28,,4,SCIE*2402,,,
182,2010/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,24,26,,4,SCIE*2402,,,
183,2010/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,26,26,,4,SCIE*3820,,,
184,2010/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,17,26,,4,SCIE*2402,,,
185,2010/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,27,25,,4,SCIE*2402,,,
210,2010/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,27,26,,4,SCIE*2402,,,
211,2010/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,28,26,,4,SCIE*2402,,,
212,2010/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,25,26,,4,SCIE*2402,,,
213,2010/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,12,26,,4,SCIE*2402,,,
214,2010/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,27,26,,4,SCIE*2402,,,
215,2010/SP,MAT-209-03,MAT,209,3,200,Applied Statistics,12,26,,4,SCIE*2402,,,
216,2010/SP,MAT-310-01,MAT,310,1,300,Statistical Modeling,16,20,,4,SCIE*1530,,,
217,2010/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,19,25,,4,SCIE*2402,,,
242,2011/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,24,28,,4,SCIE*2402,,,
243,2011/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,24,28,,4,SCIE*3820,,,
244,2011/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,19,26,,4,SCIE*2402,,,
245,2011/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,23,26,,4,SCIE*2402,,,
246,2011/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,16,26,,4,SCIE*2402,,,
247,2011/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,17,25,,4,SCIE*2402,,,
273,2011/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,31,28,,4,SCIE*2402,,,
274,2011/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,25,28,,4,SCIE*2402,,,
275,2011/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,27,28,,4,ARH*120,,,
276,2011/SP,MAT-115-04,MAT,115,4,100,Introduction to Statistics,23,28,,4,SCIE*2401,,,
277,2011/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,33,26,,4,SCIE*2402,,,
278,2011/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,27,26,,4,SCIE*2402,,,
279,2011/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,19,25,,4,SCIE*2402,,,
305,2012/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,8,28,,4,SCIE*2402,,,
306,2012/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,22,28,,4,SCIE*2402,,,
307,2012/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,22,26,,4,SCIE*2402,,,
308,2012/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,26,26,,4,SCIE*2402,,,
309,2012/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,27,26,,4,SCIE*2402,,,
310,2012/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,29,25,,4,SCIE*2402,,,
338,2012/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,29,28,,4,SCIE*3820,,,
339,2012/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,29,28,,4,ARH*124,,,
340,2012/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,27,28,,4,SCIE*2402,,,
341,2012/SP,MAT-115-04,MAT,115,4,100,Introduction to Statistics,26,28,,4,SCIE*2402,,,
342,2012/SP,MAT-115-20,MAT,115,20,100,Introduction to Statistics,7,28,,4,,,,
343,2012/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,27,26,,4,SCIE*2402,,,
344,2012/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,26,26,,4,SCIE*1530,,,
345,2012/SP,MAT-209-03,MAT,209,3,200,Applied Statistics,25,26,,4,SCIE*2402,,,
346,2012/SP,MAT-310-01,MAT,310,1,300,Statistical Modeling,28,20,,4,SCIE*2401,,,
347,2012/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,9,25,,4,SCIE*2402,,,
382,2013/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,19,28,,4,SCIE*3820,,,
383,2013/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,31,28,,4,SCIE*3820,,,
384,2013/FA,MAT-115-20,MAT,115,20,100,Introduction to Statistics,0,28,,4,,,,
385,2013/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,25,26,,4,SCIE*2402,,,
386,2013/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,33,26,,4,SCIE*2402,,,
387,2013/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,26,26,,4,SCIE*2402,,,
388,2013/FA,MAT-295-01,MAT,295,1,200,ST: Statistical Modeling,12,13,,4,,,,
389,2013/FA,MAT-310-01,MAT,310,1,300,Statistical Modeling,19,20,,4,SCIE*3820,,,
390,2013/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,22,25,,4,SCIE*2402,,,
413,2013/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,26,28,,4,SCIE*3820,,,
414,2013/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,0,28,,4,,,,
415,2013/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,26,28,,4,ARH*124,,,
416,2013/SP,MAT-115-04,MAT,115,4,100,Introduction to Statistics,28,28,,4,SCIE*3820,,,
417,2013/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,28,26,,4,SCIE*2401,,,
418,2013/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,24,26,,4,SCIE*2401,,,
419,2013/SP,MAT-209-03,MAT,209,3,200,Applied Statistics,31,26,,4,SCIE*2402,,,
420,2013/SP,MAT-209-04,MAT,209,4,200,Applied Statistics,30,26,,4,SCIE*2402,,,
421,2013/SP,MAT-209-05,MAT,209,5,200,Applied Statistics,29,26,,4,SCIE*2402,,,
422,2013/SP,MAT-295-03,MAT,295,3,200,ST: Stat Analys Spatial Data,15,20,,4,SCIE*2402,,,
423,2013/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,17,25,,4,SCIE*2402,,,
446,2014/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,8,28,,4,SCIE*3820,,,
447,2014/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,21,28,,4,SCIE*3820,,,
448,2014/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,24,26,,4,SCIE*2402,,,
449,2014/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,27,26,,4,SCIE*2402,,,
450,2014/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,26,26,,4,SCIE*2402,,,
451,2014/FA,MAT-295-01,MAT,295,1,200,ST: Statistical Modeling,9,5,,4,,,,
452,2014/FA,MAT-310-01,MAT,310,1,300,Statistical Modeling,19,20,,4,SCIE*3820,,,
453,2014/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,18,25,,4,SCIE*2402,,,
474,2014/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,28,28,,4,SCIE*3820,,,
475,2014/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,27,28,,4,SCIE*2402,,,
476,2014/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,29,28,,4,SCIE*3820,,,
478,2014/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,30,26,,4,SCIE*2402,,,
479,2014/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,26,26,,4,SCIE*2401,,,
480,2014/SP,MAT-209-03,MAT,209,3,200,Applied Statistics,25,26,,4,SCIE*2401,,,
481,2014/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,11,25,,4,SCIE*2402,,,
506,2015/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,0,28,,4,,,,
507,2015/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,23,28,,4,SCIE*3820,,,
508,2015/FA,MAT-115-20,MAT,115,20,100,Introduction to Statistics,8,16,,4,,,,
509,2015/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,25,26,,4,SCIE*2402,,,
510,2015/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,25,26,,4,SCIE*2402,,,
511,2015/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,29,26,,4,SCIE*2402,,,
512,2015/FA,MAT-310-01,MAT,310,1,300,Statistical Modeling,19,20,,4,SCIE*3820,,,
513,2015/FA,MAT-310-02,MAT,310,2,300,Statistical Modeling,21,20,,4,SCIE*3820,,,
514,2015/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,26,25,,4,SCIE*2402,,,
540,2015/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,27,28,,4,SCIE*1530,,,
541,2015/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,0,28,,4,,,,
542,2015/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,26,28,,4,ARH*124,,,
543,2015/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,26,26,,4,SCIE*2402,,,
544,2015/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,27,26,,4,SCIE*3820,,,
545,2015/SP,MAT-209-03,MAT,209,3,200,Applied Statistics,27,26,,4,SCIE*3820,,,
546,2015/SP,MAT-209-04,MAT,209,4,200,Applied Statistics,24,26,,4,SCIE*2402,,,
547,2015/SP,MAT-209-05,MAT,209,5,200,Applied Statistics,25,26,,4,SCIE*2402,,,
548,2015/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,13,25,,4,SCIE*2402,,,
568,2016/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,22,28,,4,ARH*124,,,
569,2016/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,21,25,,4,ARH*124,,,
570,2016/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,29,26,,4,SCIE*2402,,,
571,2016/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,28,26,,4,SCIE*2402,,,
572,2016/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,30,26,,4,SCIE*3820,,,
573,2016/FA,MAT-310-01,MAT,310,1,300,Statistical Modeling,20,20,,4,SCIE*3820,,,
574,2016/FA,MAT-310-02,MAT,310,2,300,Statistical Modeling,16,20,,4,SCIE*2402,,,
575,2016/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,17,25,,4,SCIE*2402,,,
576,2016/FA,MAT-335-02,MAT,335,2,300,Probability & Statistics I,13,25,,4,SCIE*2402,,,
600,2016/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,28,28,,4,SCIE*3820,,,
601,2016/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,26,28,,4,SCIE*2402,,,
602,2016/SP,MAT-115-03,MAT,115,3,100,Introduction to Statistics,27,28,,4,ARH*124,,,
603,2016/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,27,26,,4,SCIE*2402,,,
604,2016/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,27,26,,4,SCIE*3820,,,
605,2016/SP,MAT-209-03,MAT,209,3,200,Applied Statistics,28,26,,4,SCIE*2402,,,
606,2016/SP,MAT-209-04,MAT,209,4,200,Applied Statistics,29,26,,4,SCIE*2402,,,
607,2016/SP,MAT-209-05,MAT,209,5,200,Applied Statistics,29,26,,4,SCIE*2402,,,
608,2016/SP,MAT-336-01,MAT,336,1,300,Probability & Statistics II,17,25,,4,SCIE*3820,,,
627,2017/FA,MAT-115-01,MAT,115,1,100,Introduction to Statistics,22,28,,4,ARH*124,,,
628,2017/FA,MAT-115-02,MAT,115,2,100,Introduction to Statistics,9,28,,4,SCIE*1515,,,
629,2017/FA,MAT-209-01,MAT,209,1,200,Applied Statistics,26,26,,4,SCIE*2402,,,
630,2017/FA,MAT-209-02,MAT,209,2,200,Applied Statistics,26,26,,4,SCIE*2402,,,
631,2017/FA,MAT-209-03,MAT,209,3,200,Applied Statistics,26,26,,4,SCIE*2402,,,
632,2017/FA,MAT-310-01,MAT,310,1,300,Statistical Modeling,20,20,,4,SCIE*3820,,,
633,2017/FA,MAT-310-02,MAT,310,2,300,Statistical Modeling,15,20,,4,SCIE*2402,,,
634,2017/FA,MAT-335-01,MAT,335,1,300,Probability & Statistics I,26,25,,4,SCIE*3820,,,
654,2017/SP,MAT-115-01,MAT,115,1,100,Introduction to Statistics,27,28,,4,ARH*227,,,
655,2017/SP,MAT-115-02,MAT,115,2,100,Introduction to Statistics,28,28,,4,SCIE*1515,,,
656,2017/SP,MAT-209-01,MAT,209,1,200,Applied Statistics,28,26,,4,SCIE*2402,,,
657,2017/SP,MAT-209-02,MAT,209,2,200,Applied Statistics,27,26,,4,SCIE*2402,,,
